agency,locus,frame,stringency,demkt_intensity,demkt_sacrifice,precarity,collectivism,growth_endorse,community,symbolic,PA,CE,RIA,RSV,AD,PR,CS,SCB,BSE,SPS,CDC,VS,FRUG,MAT,CR,country,PA1,PA2,PA3,PA4,CE1,CE2,CE3,RIA1,RIA2,RIA3,RIA4,RSV1,RSV2,RSV3,AD1,AD2,AD3,AD4,PR1,PR2,PR3,PR4,CS1,CS2,CS3,CS4,SCB1,SCB2,SCB3,BSE1,BSE2,BSE3,BSE4,SPS1,SPS2,SPS3,CDC1,CDC2,CDC3,VS1,VS2,VS3,FRUG1,FRUG2,FRUG3,MAT1,MAT2,MAT3,CR1,CR2,CR3,PA_c,CE_c,RIA_c,RSV_c,AD_c,PR_c,CS_c,SCB_c,BSE_c,SPS_c,CDC_c,VS_c,FRUG_c,MAT_c,CR_c
0,0,1,0.1464373880253531,0.85,0.85,0.5607146886818127,-1.2712810125100886,-0.015911762905569296,0.4172118090129713,1.0,1.9461273311527643,1.2593002395110144,1.931708929937018,-0.6131879230766581,0.41445957809000367,0.3295239671829348,0.7614265406329566,-1.1973446427931638,0.9224378069798322,0.5855171532656733,-0.13141314073723775,0.6664506816176261,0.7855527407942874,0.6678082137917323,-0.8511262081117191,DE,6.0,6.0,5.0,6.0,5.0,4.0,6.0,4.0,5.0,5.0,4.0,4.0,3.0,2.0,4.0,6.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,5.0,5.0,4.0,2.0,2.0,3.0,4.0,5.0,4.0,4.0,5.0,3.0,4.0,5.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,3.0,2.0,3.0,1.7914422055201362,1.0146380828495756,0.5044289842197854,-1.003798788453469,0.514372338651088,-0.51935634340742,0.24802100636570618,-1.651837821275411,0.25410304323438415,-0.0056741947595909305,0.3473903930021507,-0.0019039323235101606,-0.0052861147078600845,0.6700785262825515,-1.3415801864040555
0,0,1,0.6724385005605732,0.15,0.5,-1.8930844348350062,-0.34640328961597283,1.245378986743796,1.8577135996025778,-1.0,1.8322762110646769,0.4548886530530298,3.298689037954147,1.117917423666008,-1.24425895278706,-0.7166863590168229,1.1503613188300905,0.6396024664175475,0.6145854945709998,-0.09088399226318727,-0.3254583416765544,0.4026445941853648,1.9844057772626167,-1.0313112444805337,0.30698893966466506,DE,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,2.0,5.0,5.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,7.0,6.0,7.0,4.0,4.0,3.0,3.0,2.0,4.0,1.7914422055201362,1.0146380828495756,0.7567223179964833,-0.6670241896852677,-1.7916555805816847,-1.0382262462808964,0.24802100636570618,-0.3287136590523036,0.25410304323438415,-0.0056741947595909305,-0.3346030165726239,-0.6788576473493192,2.7012046157166574,-0.33159600693334657,-1.005870411889434
1,1,1,0.2950343279175009,0.5,0.85,-1.594442518549973,0.8953971300305257,-0.35862484616880674,1.1152670586774087,-1.0,2.612833010190743,1.0650068768913483,3.1523739033728986,-0.23395818136791735,0.0601027136139316,0.9110062344125103,0.7160453974265087,1.3443831750047817,0.15346157253893833,0.8593783634749969,0.7380681654271326,-0.5499146151382394,2.2848190456859987,-0.39205718700025294,1.2659112569562092,DE,7.0,5.0,6.0,6.0,4.0,4.0,4.0,5.0,6.0,6.0,7.0,3.0,3.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,6.0,5.0,3.0,3.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,4.0,4.0,6.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,2.0473625205944415,0.003790677769052107,2.0181889868799727,-1.003798788453469,0.258147014291891,0.2589485109027948,-0.004900351304867399,1.3251915437265809,-0.26216980651166616,0.6668229619326423,1.0293838025769257,-0.6788576473493192,1.0096479092013337,0.336187015210585,1.008388235198294
1,0,1,0.2497941466686761,0.15,0.85,-0.9184998072446515,1.3341633435968863,1.1179566544463138,-0.5549472066360572,-1.0,1.2517894387887059,-0.510205590137904,3.599810923721125,0.2893837414307264,0.08704747297670568,-0.8787664232873595,0.4459779469294439,0.9356082111333244,0.37970668150680464,0.3702376939433939,0.8818982016699908,-0.3396230770104638,-0.6083386123501426,1.740169224505292,-0.06878100604632936,DE,5.0,6.0,5.0,5.0,3.0,3.0,3.0,6.0,6.0,6.0,5.0,4.0,3.0,4.0,4.0,4.0,3.0,5.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,5.0,5.0,4.0,4.0,4.0,1.2796015753715257,-1.0070567273114714,1.7658956531032746,-0.3302495909170669,0.0019216899326940501,-1.0382262462808964,-0.257821708975441,0.33284842205925014,0.5122394681074093,-0.0056741947595909305,0.6883870977895387,-0.34038078983641495,-0.6819087973139892,0.6700785262825515,0.0012589116544300268
1,0,0,0.7751561428507902,0.85,0.85,-0.055050902785060085,1.0001035010849448,-0.33528865738637736,-0.6379308995940352,-1.0,0.01161719914607863,0.31318675388215583,3.016276465932674,0.7351947641958927,0.11940883594159879,0.7878460910508058,0.201455667915224,-0.08320332521510568,0.38618681526104404,0.24374754001613297,-0.07550604448719694,-1.3226713412115452,0.9567304820574899,0.34565164209962895,-0.5082293025889316,DE,2.0,4.0,4.0,3.0,4.0,5.0,4.0,5.0,6.0,6.0,6.0,5.0,4.0,2.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,6.0,2.0,2.0,3.0,3.0,5.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,5.0,4.0,4.0,3.0,3.0,2.0,3.0,3.0,5.0,5.0,5.0,4.0,3.0,4.0,4.0,4.0,3.0,-0.7677609452229155,0.340739812795893,1.7658956531032746,-0.3302495909170669,0.258147014291891,1.0372533652130096,-1.5224284973283089,0.0020673815034734882,-0.5203062313846913,-0.0056741947595909305,-0.675599721360011,-1.3558113623751287,1.0096479092013337,-0.33159600693334657,-0.33445086286019143
1,1,0,0.8999979448565522,0.15,0.5,-1.0018556660103788,0.08047135545719969,-2.5649481626173545,0.6854145242790113,1.0,-0.29108337423877584,0.574391739827739,1.677211249812506,0.27705668223213586,0.5964407494863371,-0.6833997366522819,1.5263964111563613,0.7826163805282401,0.8977358581414352,1.0840259776050158,-0.6734009334566147,-0.9383973256036384,0.5040425071293178,-0.3335421898832567,0.5799478714796042,DE,4.0,4.0,2.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,5.0,3.0,4.0,5.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,3.0,6.0,3.0,5.0,5.0,5.0,4.0,2.0,4.0,2.0,2.0,5.0,5.0,6.0,3.0,5.0,4.0,5.0,4.0,5.0,3.0,-0.7677609452229155,-0.3331584572577892,-0.7570376846637038,0.006525007851134241,-0.25430363442650294,-0.7787912948441582,0.5009423640362798,0.33284842205925014,0.25410304323438415,1.0030715402787587,-0.675599721360011,-1.017334504862224,0.6713365678982695,0.6700785262825515,0.0012589116544300268
1,0,0,0.27984950913619705,0.85,0.15,-1.8586151667902557,-0.5937328271522173,0.6140180617296634,-1.1462331801122363,1.0,0.8828920407059833,-0.2457140423235693,2.0823576968798747,1.3813811732093624,-1.0700515120339775,-1.480019587304502,1.5052191448590202,-0.23117483917935344,0.2945693532060072,0.4885170225455375,-0.6157857418976607,0.5781652768762149,2.089800631478794,1.2092271516978719,0.02791950694024086,DE,5.0,4.0,5.0,5.0,3.0,3.0,3.0,3.0,5.0,4.0,4.0,5.0,4.0,4.0,3.0,3.0,2.0,2.0,3.0,3.0,1.0,3.0,6.0,4.0,4.0,6.0,3.0,3.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,3.0,4.0,4.0,5.0,4.0,5.0,5.0,6.0,6.0,5.0,4.0,5.0,6.0,4.0,5.0,4.0,0.7677609452229155,-1.0070567273114714,-0.00015768333361029275,0.34329960661933495,-1.5354302562224877,-1.557096149154373,1.006785079377427,-0.6594946996080803,0.25410304323438415,-0.0056741947595909305,0.3473903930021507,0.6750497827022994,1.6862705918074634,1.003970037354517,0.33696868616905107
0,1,0,0.15689007418984757,0.15,0.5,-1.0347893154380268,0.7806698395223621,1.805031180199372,1.1786395696875243,1.0,-0.34611939224208355,-0.17876865193448133,0.6504880591376139,0.212118989786868,-0.5848637115974494,-0.0738410093800499,-0.1769313464543406,-1.0223942130168322,1.9086661920476171,0.035283087222430974,-0.41466952888480857,-0.9582922175476796,0.5579341837143492,-0.7050062559920227,-1.4384530532217625,DE,3.0,3.0,3.0,2.0,4.0,3.0,4.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,4.0,4.0,3.0,4.0,5.0,2.0,3.0,2.0,5.0,3.0,3.0,2.0,2.0,5.0,5.0,6.0,6.0,3.0,4.0,2.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,2.0,3.0,2.0,-1.2796015753715257,-0.3331584572577892,-1.7662110197704952,-1.6773479859898708,-0.5105289587856999,-0.51935634340742,-0.7636644243165882,-1.651837821275411,1.54478516759951,-1.0144199297979404,-0.675599721360011,-0.34038078983641495,-0.0052861147078600845,-0.6654875180053121,-1.6772899609186764
1,1,1,0.6007523276224326,0.85,0.5,-0.07062246319090038,-0.9340394951903515,0.6513574014318759,1.144001638894859,1.0,1.6858805230479075,0.4549499033963025,3.0993717173788116,3.960585859248549,1.7208784704833704,0.6033949658780584,2.5074601848788958,1.7228226996086498,-0.1731800256373034,-0.5771452320701232,-0.4785176138015238,1.1665830970018871,0.5210389950672938,-2.0808786105176074,1.0769315198725022,DE,6.0,5.0,4.0,6.0,4.0,3.0,4.0,5.0,6.0,5.0,5.0,6.0,7.0,7.0,6.0,5.0,5.0,6.0,5.0,5.0,4.0,4.0,5.0,4.0,7.0,5.0,6.0,5.0,6.0,2.0,3.0,3.0,2.0,3.0,3.0,4.0,2.0,2.0,3.0,6.0,3.0,5.0,4.0,4.0,2.0,2.0,2.0,2.0,5.0,4.0,5.0,1.2796015753715257,-0.3331584572577892,1.261308985549879,2.7007217979967426,1.5392736360878758,0.5183834623395331,1.2597064370480004,1.6559725842823585,-1.552851930876792,-0.6781713514518238,-1.6985898357221731,0.6750497827022994,-0.6819087973139892,-2.0010535622931758,0.672678460683673
1,0,0,0.3212487747575838,0.85,0.15,-0.8047461107775604,-0.23792685690800341,-0.17848633937523942,0.3321327853993754,1.0,0.3021944128106022,-1.180481904665476,0.6247231754238052,-0.0008486145409499768,0.30689571020089657,0.17739161730557762,1.3462821746708837,-0.21600986271131528,-0.4069277863120399,1.9882956479722425,0.1934043388138007,-0.5761805550430579,0.8151667412618154,-1.0388491352681843,-0.9371562410072012,DE,3.0,4.0,3.0,3.0,1.0,2.0,1.0,3.0,2.0,4.0,2.0,2.0,4.0,4.0,3.0,5.0,3.0,3.0,4.0,4.0,4.0,2.0,4.0,5.0,4.0,3.0,2.0,4.0,5.0,4.0,2.0,3.0,3.0,5.0,5.0,6.0,4.0,3.0,5.0,3.0,3.0,5.0,5.0,3.0,5.0,2.0,4.0,3.0,3.0,4.0,3.0,-0.7677609452229155,-2.6918024024456777,-1.2616243522170996,-0.6670241896852677,-0.5105289587856999,-0.51935634340742,-0.004900351304867399,-0.3287136590523036,-1.0365790811307416,1.3393201186248749,0.006393688214763604,-0.34038078983641495,0.3330252265952042,-0.9993790290772782,-0.6701606373748125
