agency,locus,frame,stringency,demkt_intensity,demkt_sacrifice,precarity,collectivism,growth_endorse,community,symbolic,PA,CE,RIA,RSV,AD,PR,CS,SCB,BSE,SPS,CDC,VS,FRUG,MAT,CR,PA1,PA2,PA3,PA4,CE1,CE2,CE3,RIA1,RIA2,RIA3,RIA4,RSV1,RSV2,RSV3,AD1,AD2,AD3,AD4,PR1,PR2,PR3,PR4,CS1,CS2,CS3,CS4,SCB1,SCB2,SCB3,BSE1,BSE2,BSE3,BSE4,SPS1,SPS2,SPS3,CDC1,CDC2,CDC3,VS1,VS2,VS3,FRUG1,FRUG2,FRUG3,MAT1,MAT2,MAT3,CR1,CR2,CR3,PA_c,CE_c,RIA_c,RSV_c,AD_c,PR_c,CS_c,SCB_c,BSE_c,SPS_c,CDC_c,VS_c,FRUG_c,MAT_c,CR_c
1.0,1.0,1.0,0.05,0.5,0.15,0.48556211883891964,1.122183350155864,-2.151889631522095,0.44117300942387355,-1.0,1.5205078356924846,2.6478475753742194,0.30198678263853584,-0.8127696583155465,-0.19006791432018144,0.7875793624568548,0.08427027578923707,0.590557656835992,0.828670029199423,-0.5292007802818265,-0.42260434494435284,-2.1892684384655325,-0.2785573239854453,0.7655267559294201,-0.6779824867554802,6.0,5.0,4.0,4.0,6.0,7.0,7.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,5.0,5.0,6.0,4.0,4.0,5.0,3.0,4.0,4.0,2.0,5.0,4.0,4.0,5.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,5.0,5.0,2.0,2.0,3.0,4.0,5.0,4.0,5.0,4.0,5.0,3.0,3.0,4.0,0.7660032021449338,2.658612440864953,-1.5091881558851565,-1.0146569054333268,0.26346194415123797,0.7703796187639116,-0.7597822728783461,0.33214975624208765,0.0017044938501718304,-1.0014186264438663,0.3439910960451612,-1.6895171522722772,0.3400264474998762,0.6625963959480041,-0.6763445805428014
1.0,0.0,1.0,0.05,0.5,0.5,0.18937788024053256,0.49601313964313815,-0.3931941159080755,0.5467977587842975,-1.0,1.581176421420539,1.2590701309020507,1.6082946958256414,-0.40370404204826943,-2.729641405722478,-1.2294406650163061,2.310214277706857,0.5286117111173242,1.195518071749957,0.6157683237814571,-0.4680994338581428,0.3902841906439102,0.8824505929377809,-1.6564774735960994,0.2162952199029524,5.0,5.0,5.0,5.0,5.0,6.0,5.0,3.0,4.0,3.0,2.0,2.0,3.0,2.0,1.0,3.0,3.0,1.0,3.0,3.0,4.0,2.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,3.0,6.0,4.0,4.0,3.0,4.0,5.0,5.0,3.0,3.0,5.0,3.0,4.0,2.0,3.0,3.0,4.0,4.0,4.0,1.0222731917107075,1.3261336518872917,-1.0072011237541945,-1.6909874883281009,-2.075397024593899,-1.0331847061014343,0.7602648275133909,0.33214975624208765,0.25737857137597453,0.681233890384522,0.0026010668888099245,-0.34290513224313557,0.002411535088651598,-1.339973666163976,-0.006696480995473437
1.0,1.0,1.0,0.05,0.5,0.5,-0.32248508468295517,-1.3587031242022878,1.4874901139416878,1.4360574954741852,1.0,0.19896304801431042,-0.21594492651974495,0.8678534126541114,0.21911149227449433,-2.3031651758730045,-0.4663842707366661,1.184169456153332,1.3306192412730424,0.7204099848082197,0.36783279630984655,-0.1188039700954106,-0.224449549480538,0.6346369063201346,-0.23700958705235117,0.02253319851104567,3.0,3.0,3.0,3.0,3.0,4.0,2.0,2.0,4.0,3.0,3.0,3.0,4.0,4.0,1.0,3.0,3.0,1.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,6.0,5.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,6.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,2.0,-1.0278867248154822,-1.0057042288236147,-1.0072011237541945,-0.33832632253855244,-2.075397024593899,-0.2602285668734289,0.2535824607161452,0.9926748396780579,-0.5096436612014336,-0.6648881230781886,1.0267711543578646,0.6670538827787214,0.3400264474998762,-0.3386886351079862,-0.3415205307691377
1.0,0.0,1.0,0.05,0.15,0.15,0.4135410015143859,0.7252052644874525,0.4802058285331386,-0.18730882363911325,-1.0,1.3778555626975373,-0.5065992387938513,2.250462131899514,-0.5527915301188994,-0.6422334122490341,1.5118564546348534,-0.1566756095703895,-0.643969195261736,0.6829038600157691,-1.1554974905647013,0.2563017741172521,-2.0492039407104983,-0.08809949195814959,-0.8264703658627941,0.2323752625114397,5.0,6.0,4.0,5.0,3.0,3.0,4.0,4.0,5.0,4.0,4.0,3.0,3.0,2.0,3.0,4.0,3.0,5.0,5.0,6.0,5.0,5.0,3.0,3.0,4.0,1.0,3.0,2.0,2.0,4.0,4.0,4.0,4.0,3.0,2.0,3.0,4.0,5.0,4.0,1.0,3.0,2.0,5.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,1.0222731917107075,-0.6725845315791992,0.2477664565732104,-1.352822196880714,-0.2562844933476814,1.2856837115825819,-1.2664646396755916,-1.649425494065822,0.0017044938501718304,-1.337949129809544,0.3439910960451612,-2.0261701572795627,0.002411535088651598,-0.3386886351079862,-0.6763445805428014
1.0,0.0,1.0,0.05,0.85,0.15,1.256150203865767,0.6197524130698818,-0.16085673497823266,0.2911908889203708,1.0,-0.8878510307676402,-0.5610443825208189,0.5177712199232796,-0.1288972011910543,0.049577071016937854,-0.06171283406806845,-0.46592875512110177,-0.181936617586012,0.5896576373551878,0.3170339869935657,1.7938044992577007,-1.3334213723814912,-1.355512656699407,1.2569295765661197,2.178980045615826,2.0,2.0,2.0,2.0,2.0,3.0,4.0,2.0,4.0,1.0,2.0,2.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,3.0,2.0,1.0,3.0,3.0,3.0,4.0,4.0,3.0,5.0,3.0,5.0,4.0,6.0,7.0,6.0,3.0,2.0,2.0,3.0,3.0,3.0,6.0,5.0,6.0,6.0,6.0,5.0,-2.052966683078577,-1.0057042288236147,-1.7601816719506373,-1.0146569054333268,-0.2562844933476814,-0.517880613282764,-2.02648818987146,-0.9889004106298521,0.0017044938501718304,0.008172883653166516,2.3923312709832705,-1.6895171522722772,-1.010433202145023,1.663881427003994,1.6674237678728474
1.0,1.0,1.0,0.05,0.15,0.5,-0.5959402462133667,-1.1766993074279684,1.7059959773503268,-0.11279756056488122,1.0,2.2624219808016264,0.9228435427573215,2.126024186309369,1.3612598597051448,-1.2969500003418637,0.8177531905450854,0.9246990116572795,-0.45450745556542543,-0.9834280624651858,-0.6320164635148715,0.08893067126759917,-0.1734493098157285,-0.7501686856647375,-0.34171547515763034,1.062501481601395,6.0,6.0,6.0,7.0,4.0,3.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,3.0,2.0,2.0,4.0,3.0,5.0,6.0,4.0,4.0,3.0,4.0,3.0,5.0,3.0,4.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,1.0,3.0,3.0,4.0,4.0,5.0,4.0,4.0,2.3036231395395763,-0.33946483433478425,0.2477664565732104,-0.00016103109116506149,-1.2957773683455203,0.7703796187639116,-0.2530999060811004,-0.6586378689118669,-1.7880140488304472,-1.337949129809544,-0.3387889622675418,-1.0162111422577065,-1.3480481145562482,-0.3386886351079862,0.3281275687781904
1.0,1.0,1.0,0.05,0.85,0.5,-1.909852138767441,-0.09033215860453446,-1.8514614591092222,1.1079729693006688,-1.0,2.263659515033737,1.3171481484342498,2.2657590599097976,0.9273857011539063,-2.6208906095175792,-0.3409107772128813,0.6774334654909758,0.22923453617282752,0.3500657015163936,0.5438194925598937,-1.1767548946645134,-0.646553312532839,-2.7573876217546944,-0.008055571717966004,-1.546448116072262,5.0,6.0,5.0,5.0,6.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,5.0,3.0,2.0,1.0,2.0,5.0,3.0,4.0,4.0,4.0,5.0,5.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,1.0,1.0,2.0,3.0,4.0,4.0,2.0,3.0,3.0,1.2785431812764811,0.6598942573984619,-0.25422057555775157,-0.33832632253855244,-1.55565058709498,-0.2602285668734289,0.2535824607161452,-0.6586378689118669,0.25737857137597453,0.3447033870188438,-0.3387889622675418,-0.34290513224313557,-2.698507764201148,-0.3386886351079862,-1.34599268009013
1.0,0.0,1.0,0.05,0.15,0.15,-1.5311328469905066,-0.3892351263486397,-0.1856197769434108,-0.15607332993522785,-1.0,0.9547583844849816,-0.6475712676192119,1.2527269566925394,0.603099727058612,-1.464683907232458,-1.8830196205276868,1.2217166614485828,1.4066583177917071,0.32823375053004705,1.050955058655256,-0.7891974278477828,0.04953270875751822,-0.11773615056470024,0.40028529775064303,0.4617214937403379,5.0,4.0,3.0,3.0,1.0,4.0,2.0,3.0,2.0,4.0,3.0,3.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,2.0,1.0,3.0,4.0,4.0,3.0,4.0,5.0,5.0,5.0,4.0,3.0,4.0,3.0,4.0,5.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,5.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,-0.25907675611816106,-1.671943623312445,-1.0072011237541945,-1.0146569054333268,-0.7760309308466008,-1.8061408453294396,-0.2530999060811004,0.9926748396780579,-0.5096436612014336,0.008172883653166516,-1.3629590497365964,-0.6795581372504207,0.3400264474998762,-1.0062119891453127,-0.006696480995473437
1.0,0.0,1.0,0.05,0.5,0.15,-1.6398835655082853,-0.7032890449798,0.26544300319507175,0.008992171156363875,1.0,0.26471051042015437,0.7853433107111726,1.1980451386592126,0.5240487406364605,-0.7646722240322612,-1.01887455744073,2.040507942666639,0.7864299060265681,0.025864228020542,-0.06224771900048187,-0.4769857123957154,0.6066805165008169,-0.0058924725100265585,-1.8829570156167388,0.5667396738319136,4.0,4.0,2.0,3.0,4.0,5.0,4.0,4.0,2.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,1.0,2.0,2.0,4.0,4.0,2.0,-0.7716167352497085,0.32677456015404605,-0.5052140916232325,-0.33832632253855244,-0.7760309308466008,-1.2908367525107693,0.7602648275133909,0.0018872145241029409,-0.2539695836756309,-1.0014186264438663,-0.3387889622675418,-0.006252127235849924,-0.3352033773225735,-2.3412586972199656,-0.6763445805428014
1.0,0.0,1.0,0.05,0.15,0.15,-0.49895042570836035,-0.9001460027412418,0.09815743899579034,-1.2543333444056806,1.0,1.428481056299907,0.5294353981293852,2.016626657660935,0.9570858922497298,-1.121137449607167,-1.7015634068941043,1.7175369034267325,0.008630097143843107,-0.8368787676273454,2.2922148015742096,0.1502365623052102,0.8769746118114595,1.0102375566263708,-0.4703432741123323,-0.19429779208138734,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,1.0,2.0,3.0,3.0,3.0,4.0,3.0,5.0,5.0,5.0,5.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,6.0,6.0,6.0,5.0,5.0,3.0,5.0,5.0,4.0,3.0,6.0,5.0,4.0,3.0,4.0,4.0,5.0,4.0,1.0222731917107075,0.9930139546428768,0.4987599726386914,-0.00016103109116506149,-1.55565058709498,-0.7755326596920991,1.0136060109120137,-0.32837532719388224,-0.5096436612014336,2.027355903847232,0.3439910960451612,0.6670538827787214,0.6776413599111017,-0.3386886351079862,0.3281275687781904
