agency,locus,frame,stringency,demkt_intensity,demkt_sacrifice,precarity,collectivism,growth_endorse,community,symbolic,PA,CE,RIA,RSV,AD,PR,CS,SCB,BSE,SPS,CDC,VS,FRUG,MAT,CR,PA1,PA2,PA3,PA4,CE1,CE2,CE3,RIA1,RIA2,RIA3,RIA4,RSV1,RSV2,RSV3,AD1,AD2,AD3,AD4,PR1,PR2,PR3,PR4,CS1,CS2,CS3,CS4,SCB1,SCB2,SCB3,BSE1,BSE2,BSE3,BSE4,SPS1,SPS2,SPS3,CDC1,CDC2,CDC3,VS1,VS2,VS3,FRUG1,FRUG2,FRUG3,MAT1,MAT2,MAT3,CR1,CR2,CR3,PA_c,CE_c,RIA_c,RSV_c,AD_c,PR_c,CS_c,SCB_c,BSE_c,SPS_c,CDC_c,VS_c,FRUG_c,MAT_c,CR_c
0,0,1,0.35,0.15,0.15,0.6312389434854152,-0.8131746212007135,-0.8132441713213544,-0.05984694690297199,-1.0,1.4426348760166594,0.5189638445512293,1.69765709146834,1.576986860100659,0.1243453351492187,0.2838378393113218,1.0745453962055918,-1.0928665811706861,0.29125200463062795,0.4150376969490631,-0.1475884835174187,-2.0086288724349295,0.10721375445408043,-1.1525948723239476,-0.48707464993826,5.0,5.0,6.0,6.0,5.0,4.0,5.0,5.0,5.0,6.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,2.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,2.0,2.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,2.0,3.0,3.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0,5.0,3.0,1.5310395668304237,0.6588002390033019,1.25770848142345,0.3360757560313098,-0.5059784149050897,-0.5045188738320073,-0.0077982592889083565,-1.335646252952648,-0.2526228687677792,-0.6670716729690054,-0.013699870464544755,-1.3455774495142216,0.3453504989496009,-0.6683796008998834,-0.3516737667360989
0,1,0,0.35,0.15,0.15,-0.16891767521512274,-0.698711779296842,0.6810188877412535,2.2861051508905774,-1.0,0.9954395358459773,-0.8274470083274283,-0.039698568849232396,-0.1610377093949664,2.2495886707210127,0.27628214570839693,0.49978151689860184,0.8400152545636967,0.3144889622821322,-1.4820783750210031,-1.1141897146984248,-0.730131682540519,0.2811695515808509,0.843962278521879,-0.1583920132519597,4.0,4.0,4.0,5.0,3.0,2.0,3.0,1.0,2.0,1.0,2.0,3.0,2.0,4.0,6.0,7.0,5.0,6.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,3.0,4.0,4.0,6.0,4.0,3.0,4.0,4.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,2.0,4.0,6.0,4.0,4.0,4.0,4.0,6.0,4.0,4.0,4.0,0.26046731219936675,-1.328468353119777,-2.52368876933293,-1.0209493787323387,2.0378250850105233,0.7697197972511993,-0.0077982592889083565,0.6748914229933222,-0.2526228687677792,-1.997058809106587,-1.025382612461687,-0.672262697607183,0.6912414525141477,0.6508584702671961,-0.014740816569775791
1,0,0,0.35,0.15,0.15,0.25850000939998524,-0.814878801192444,-0.10931851613281773,-0.49191359234998194,1.0,1.0680935929171078,-1.195466253799385,0.6537765302857228,0.5364086181945669,0.40654781325771705,-1.9299070578567,0.8904117233137898,0.3850558668277995,1.374404575319698,0.44644788156464116,0.8177596777190315,0.33077446758127277,1.1115580608451894,0.35194186761175184,-0.7654661231215377,4.0,5.0,5.0,4.0,3.0,3.0,2.0,2.0,2.0,3.0,4.0,3.0,4.0,3.0,5.0,5.0,4.0,5.0,1.0,2.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,6.0,5.0,6.0,4.0,5.0,5.0,6.0,5.0,7.0,5.0,4.0,4.0,4.0,3.0,4.0,0.5145817631255781,-1.328468353119777,-1.2632230190808036,-0.6816930950414264,0.7659233350527167,-2.0336052791318555,-0.0077982592889083565,-0.3303774149796632,1.2750492825208382,0.9954122472029713,1.672438032864026,0.6743668062068938,2.0748052667723322,0.3210489524754257,-0.3516737667360989
0,0,0,0.35,0.15,0.15,-0.6979867802287025,0.7303271044882413,2.360441485023708,-0.045398214149277416,-1.0,0.09821743557138385,-0.9373684712832051,-0.08611689553101765,0.01668024889240388,0.3888608987535143,0.9259677266179129,-0.2068657715726302,0.34762290372594684,-0.12487306427074078,-0.306599328494443,-0.3293692257057763,-2.4896312058705767,-1.5797776493147675,0.13196919912229377,0.7202873551198998,2.0,4.0,3.0,3.0,2.0,3.0,3.0,2.0,1.0,3.0,2.0,3.0,4.0,4.0,3.0,6.0,5.0,4.0,5.0,4.0,4.0,4.0,2.0,4.0,3.0,2.0,4.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,2.0,2.0,3.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,5.0,4.0,-1.0101049424316901,-1.328468353119777,-2.0195024692320795,-0.34243681135051446,0.5115429850611555,0.2600243288179167,-1.2555197455142455,-0.3303774149796632,-1.2710709696268574,-0.9995684570034009,-0.35092745113025897,-1.6822348254677406,-1.38410426887313,0.3210489524754257,0.6591250837628704
1,1,1,0.35,0.15,0.15,-1.0588381293832032,0.2969124519629607,-0.6180734260966877,-0.2686234678673314,-1.0,1.639871523793484,0.9302041956145983,2.9996842053395505,1.571387787279558,-2.4909620924042257,1.0074712117811808,0.6828341624859574,-1.2644454529393188,0.3178076902658037,0.5477786856938913,0.16938803198300076,0.20581010376268388,0.05198698195026365,1.7534593370253084,-1.0182271667095464,6.0,6.0,5.0,5.0,4.0,4.0,5.0,6.0,5.0,5.0,6.0,6.0,4.0,5.0,2.0,2.0,3.0,2.0,5.0,5.0,4.0,5.0,3.0,3.0,5.0,5.0,3.0,3.0,3.0,5.0,6.0,4.0,4.0,3.0,5.0,3.0,4.0,5.0,5.0,4.0,3.0,4.0,3.0,4.0,4.0,6.0,7.0,7.0,3.0,3.0,3.0,1.5310395668304237,0.3275888069827882,1.5098016314738754,1.0145883234131345,-1.7778801648628961,0.7697197972511993,-0.0077982592889083565,-1.0005566402949864,0.7658252320912989,-0.33457488893461035,0.6607552908668837,-0.3356053216536642,-0.3464314081794914,2.629715577017815,-1.0255396670687447
1,0,1,0.35,0.15,0.15,2.000816255567338,1.5128222900482462,-0.005610136349845815,1.0624081785675594,-1.0,0.722073386139969,-0.302182645885099,2.3630757928420247,0.6224835141066809,-1.1620376238193548,-0.7800544319866094,1.0249852424737866,0.7511664715659118,1.7104408595114569,0.9423010408325196,-1.3920348226450763,-1.4201328926122367,0.0404937352371182,0.17467454139077637,0.12457581205396918,4.0,4.0,5.0,4.0,5.0,3.0,2.0,6.0,6.0,5.0,6.0,4.0,5.0,4.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,5.0,4.0,5.0,6.0,3.0,4.0,6.0,4.0,5.0,6.0,5.0,5.0,5.0,3.0,2.0,4.0,2.0,1.0,4.0,5.0,4.0,3.0,4.0,2.0,5.0,3.0,2.0,5.0,0.26046731219936675,-0.6660454890787506,1.7618947815243007,0.3360757560313098,-1.2691194648797735,-0.7593666080486486,0.4912903352012265,0.33980181033565987,1.2750492825208382,0.9954122472029713,-1.025382612461687,-1.6822348254677406,-0.0005404546149450336,-0.3385700831081138,-0.6886067169024216
1,0,0,0.35,0.15,0.15,0.6794719805303471,-1.3603157938226218,-0.3267667908543044,0.6742583607600177,-1.0,0.17154724599564464,-0.15151770410813167,1.5368199406435297,-0.2730954562784624,1.23815593077147,0.11889839729251919,0.01947071380720644,-0.41283483195713344,-1.533163421621912,-1.0932790918482354,1.081904978437859,-0.18981550883994203,-1.0745937027345682,1.2189971211182442,0.6175102557258346,6.0,4.0,4.0,2.0,4.0,3.0,3.0,4.0,3.0,3.0,5.0,3.0,4.0,2.0,6.0,6.0,5.0,6.0,2.0,3.0,4.0,5.0,3.0,3.0,2.0,4.0,3.0,3.0,4.0,2.0,1.0,3.0,3.0,3.0,2.0,2.0,5.0,6.0,6.0,5.0,6.0,3.0,2.0,4.0,2.0,5.0,6.0,5.0,5.0,6.0,5.0,0.0063528612731553755,-0.6660454890787506,-0.25485041887910204,-1.0209493787323387,1.7834447350189617,-0.5045188738320073,-1.005975448269178,-0.6654670276373246,-1.7802950200563963,-1.6645620250721915,1.672438032864026,0.6743668062068938,-1.38410426887313,1.3104775058507352,1.3329909840955156
0,0,0,0.35,0.15,0.15,-0.8103966825468734,1.126298781983695,1.0067557355646832,0.430427250005321,1.0,1.1750129237025688,-0.5158476323417446,1.0554413844928212,0.9731042038070783,0.6956428584004848,2.014908200604835,-0.04760148861970222,-0.6413919547482505,1.044700783319116,0.03431134533328216,0.9929332086620775,0.13946168466943804,-0.24342273595613256,0.8143881366506218,-0.33744763289947566,5.0,3.0,4.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,5.0,5.0,6.0,5.0,5.0,6.0,5.0,5.0,6.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,5.0,6.0,4.0,5.0,2.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,3.0,4.0,4.0,4.0,4.0,6.0,4.0,3.0,4.0,4.0,0.0063528612731553755,-1.328468353119777,-0.7590367189799527,-0.34243681135051446,1.2746840350358393,1.5342629999011235,-0.7564311510241106,-0.3303774149796632,1.0204372573060685,-0.33457488893461035,0.6607552908668837,0.337709430253374,-0.0005404546149450336,0.6508584702671961,-0.3516737667360989
0,1,0,0.35,0.15,0.15,0.7266770389320782,-0.21553758885371774,-1.0243109827968546,-1.7803027261635802,-1.0,-0.3582495347975642,0.7399859417341896,1.6385771096888049,1.2426249409195051,1.2620005067483904,0.42707890560479966,0.5646028739460616,0.008420290404304087,-0.8156173281393386,1.238112711731088,1.291244158554009,-0.5382144120548462,-0.9203656910510628,0.933203617446822,-0.5444669752616611,2.0,2.0,3.0,3.0,5.0,4.0,5.0,3.0,4.0,3.0,5.0,5.0,4.0,5.0,6.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,4.0,2.0,2.0,3.0,4.0,6.0,5.0,4.0,6.0,5.0,5.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,5.0,6.0,3.0,2.0,5.0,-1.518333844284113,0.6588002390033019,-0.25485041887910204,0.6753320397222226,1.020303685044278,0.514872063034558,0.24174603795615907,-0.3303774149796632,-1.2710709696268574,0.9954122472029713,1.3352104521983112,-0.3356053216536642,-1.0382133153085837,0.9806679880589657,-0.6886067169024216
0,1,0,0.35,0.15,0.15,1.1481936126540722,0.09657471835398043,0.5331882508913897,0.08354061521729922,-1.0,-1.2919911368407817,0.019444266995157,1.2352932401880268,0.5388264615748014,1.5008245096176565,1.1849718436822139,-0.7868527301121222,-0.8286271516813223,-0.03277791757032866,-0.07133366478502384,0.9951934107967305,0.34563027765743737,0.9271374847204827,1.4256666933328126,0.48716627436755755,2.0,2.0,2.0,2.0,4.0,3.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,5.0,6.0,6.0,5.0,6.0,6.0,5.0,5.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,2.0,4.0,6.0,5.0,5.0,6.0,6.0,5.0,5.0,5.0,4.0,-2.026562746136536,-0.003622625037724597,-0.25485041887910204,-0.34243681135051446,1.5290643850274006,1.5342629999011235,-1.505064042759313,-1.0005566402949864,-0.2526228687677792,-0.002078104900214853,0.6607552908668837,-0.672262697607183,1.3830233596432395,1.6402870236425056,0.6591250837628704
