service_fee,reconfig_cost_share,subsidy_coef,hits,futility_regime,futility_dQ,futility_relpi,collapse_regime,collapse_dQ,collapse_relpi,niche_regime,niche_dQ,niche_relpi,tipping_regime,tipping_dQ,tipping_relpi,backlash_regime,backlash_dQ,backlash_relpi
0.19,0.14,0.5,5,futility,0.014,0.224,collapse,0.0,0.0,niche,0.064,1.14,tipping,0.25,2.505,backlash,-0.293,1.45
0.19,0.14,0.35,5,futility,0.014,0.224,collapse,0.0,0.0,niche,0.064,1.14,tipping,0.25,2.292,backlash,-0.293,1.369
0.165,0.1,0.35,5,futility,0.014,0.224,collapse,0.0,0.0,niche,0.064,0.971,tipping,0.23,1.856,backlash,-0.298,1.227
0.165,0.1,0.5,5,futility,0.014,0.224,collapse,0.0,0.0,niche,0.064,0.971,tipping,0.25,2.166,backlash,-0.298,1.292
0.19,0.1,0.5,5,futility,0.014,0.224,collapse,0.0,0.0,niche,0.064,1.205,tipping,0.25,2.571,backlash,-0.275,1.531
0.19,0.1,0.8,5,futility,0.014,0.224,collapse,0.0,0.0,niche,0.064,1.205,tipping,0.268,3.086,backlash,-0.232,1.833
0.19,0.1,0.35,5,futility,0.014,0.224,collapse,0.0,0.0,niche,0.064,1.205,tipping,0.25,2.358,backlash,-0.293,1.385
0.165,0.1,0.8,5,futility,0.014,0.224,collapse,0.0,0.0,niche,0.064,0.971,tipping,0.25,2.536,backlash,-0.293,1.453
0.19,0.14,0.8,5,futility,0.014,0.224,collapse,0.0,0.0,niche,0.064,1.14,tipping,0.25,2.93,backlash,-0.232,1.807
0.19,0.18,0.35,5,futility,0.014,0.224,collapse,0.0,0.0,niche,0.064,1.075,tipping,0.25,2.226,backlash,-0.298,1.331
0.19,0.18,0.8,5,futility,0.014,0.224,collapse,0.0,0.0,niche,0.064,1.075,tipping,0.25,2.864,backlash,-0.251,1.707
0.19,0.18,0.5,5,futility,0.014,0.224,collapse,0.0,0.0,niche,0.064,1.075,tipping,0.25,2.439,backlash,-0.293,1.434
0.14,0.18,0.8,4,futility,0.014,0.224,collapse,0.0,0.0,strained,0.064,0.607,tipping,0.254,1.944,backlash,-0.298,1.231
0.14,0.1,0.35,4,futility,0.014,0.224,collapse,0.0,0.0,strained,0.064,0.736,tipping,0.211,1.386,backlash,-0.312,1.055
0.165,0.18,0.8,4,futility,0.014,0.224,collapse,0.0,0.0,strained,0.064,0.841,tipping,0.25,2.404,backlash,-0.293,1.42
0.115,0.1,0.8,4,futility,0.014,0.224,collapse,0.0,0.0,strained,0.064,0.502,tipping,0.211,1.395,backlash,-0.312,1.058
0.14,0.14,0.8,4,futility,0.014,0.224,collapse,0.0,0.0,strained,0.064,0.672,tipping,0.23,1.885,backlash,-0.298,1.246
0.14,0.14,0.5,4,futility,0.014,0.224,collapse,0.0,0.0,strained,0.064,0.672,tipping,0.211,1.462,backlash,-0.312,1.089
0.14,0.1,0.5,4,futility,0.014,0.224,collapse,0.0,0.0,strained,0.064,0.736,tipping,0.254,1.764,backlash,-0.303,1.134
0.14,0.1,0.8,4,futility,0.014,0.224,collapse,0.0,0.0,strained,0.064,0.736,tipping,0.246,2.027,backlash,-0.298,1.26
0.165,0.14,0.35,4,futility,0.014,0.224,collapse,0.0,0.0,strained,0.064,0.906,tipping,0.254,1.919,backlash,-0.298,1.212
0.165,0.14,0.5,4,futility,0.014,0.224,collapse,0.0,0.0,strained,0.064,0.906,tipping,0.246,2.053,backlash,-0.298,1.278
0.165,0.18,0.35,4,futility,0.014,0.224,collapse,0.0,0.0,strained,0.064,0.841,tipping,0.254,1.846,backlash,-0.303,1.178
0.165,0.18,0.5,4,futility,0.014,0.224,collapse,0.0,0.0,strained,0.064,0.841,tipping,0.223,1.803,backlash,-0.298,1.263
0.165,0.14,0.8,4,futility,0.014,0.224,collapse,0.0,0.0,strained,0.064,0.906,tipping,0.25,2.47,backlash,-0.293,1.437
0.115,0.14,0.35,3,futility,0.014,0.224,collapse,0.0,0.0,strained,0.064,0.437,strained,0.122,0.759,backlash,-0.318,0.92
0.115,0.1,0.35,3,futility,0.014,0.224,collapse,0.0,0.0,strained,0.064,0.502,strained,0.122,0.799,backlash,-0.318,0.932
0.115,0.1,0.5,3,futility,0.014,0.224,collapse,0.0,0.0,strained,0.064,0.502,niche,0.164,1.029,backlash,-0.318,0.967
0.14,0.18,0.5,3,futility,0.014,0.224,collapse,0.0,0.0,strained,0.064,0.607,niche,0.188,1.322,backlash,-0.312,1.077
0.14,0.18,0.35,3,futility,0.014,0.224,collapse,0.0,0.0,strained,0.064,0.607,niche,0.169,1.126,backlash,-0.318,1.011
0.14,0.14,0.35,3,futility,0.014,0.224,collapse,0.0,0.0,strained,0.064,0.672,niche,0.182,1.219,backlash,-0.318,1.023
0.115,0.14,0.5,3,futility,0.014,0.224,collapse,0.0,0.0,strained,0.064,0.437,strained,0.156,0.928,backlash,-0.318,0.955
0.115,0.18,0.5,3,futility,0.014,0.224,collapse,0.0,0.0,strained,0.064,0.373,strained,0.122,0.798,backlash,-0.318,0.943
0.115,0.18,0.35,3,futility,0.014,0.224,collapse,0.0,0.0,strained,0.064,0.373,strained,0.08,0.614,backlash,-0.318,0.908
0.115,0.14,0.8,3,futility,0.014,0.224,collapse,0.0,0.0,strained,0.064,0.437,niche,0.182,1.227,backlash,-0.315,1.033
0.115,0.18,0.8,3,futility,0.014,0.224,collapse,0.0,0.0,strained,0.064,0.373,niche,0.169,1.134,backlash,-0.318,1.014
