term,dv,sum_sq,df,F,PR(>F),partial_eta_sq
C(agency),CS_c,22.126891072332693,1.0,22.71604001747874,2.1092411866127184e-06,0.018700699808946192
C(locus),CS_c,4.94054118980108,1.0,5.072087669643494,0.024495469287288334,0.0042370778851901865
C(frame),CS_c,7.668387819293102,1.0,7.872565739270137,0.005100676424950435,0.0065611682140758526
C(agency):C(locus),CS_c,0.8249958351508272,1.0,0.8469621124936365,0.3575993698632833,0.0007100341782265966
C(agency):C(frame),CS_c,0.08294128265347932,1.0,0.08514967103595107,0.7704871347097506,7.142918528886019e-05
C(locus):C(frame),CS_c,1.6700044584238425,1.0,1.7144698721077307,0.190658781375962,0.0014362478761704343
C(agency):C(locus):C(frame),CS_c,0.6012016050326007,1.0,0.6172091539588009,0.43224240598195557,0.0005175249436461245
Residual,CS_c,1161.0850367373127,1192.0,,,
C(agency),PA_c,126.82329109651181,1.0,145.38385281060076,1.1341626418616522e-31,0.10870764777447173
C(locus),PA_c,14.64839883022649,1.0,16.792188887638783,4.4525219954056296e-05,0.013891708634460468
C(frame),PA_c,12.381855637158592,1.0,14.193937579690227,0.00017295876164032217,0.011767541800260845
C(agency):C(locus),PA_c,1.6906793260861865,1.0,1.9381098863503652,0.16413357399458942,0.0016232917521452194
C(agency):C(frame),PA_c,0.46674600182959153,1.0,0.535054180058225,0.46463346388811794,0.0004486695616894113
C(locus):C(frame),PA_c,1.398834907321633,1.0,1.6035540988887975,0.20564767408075235,0.0013434562031774452
C(agency):C(locus):C(frame),PA_c,1.7679576559069794,1.0,2.026697883326137,0.1548177904873935,0.0016973639592137288
Residual,PA_c,1039.8222365449597,1192.0,,,
C(agency),AD_c,57.34393412905395,1.0,61.12532745754769,1.1713702446848034e-14,0.04877830342920625
C(locus),AD_c,0.10091986598891532,1.0,0.10757475832860251,0.7429799147846671,9.023913664034113e-05
C(frame),AD_c,17.795572756569356,1.0,18.96905450525744,1.442701448413839e-05,0.01566435941090771
C(agency):C(locus),AD_c,4.749892556888442,1.0,5.063111597375931,0.02462208883120525,0.004229611244656643
C(agency):C(frame),AD_c,0.5135505781989378,1.0,0.5474153061730456,0.4595214152139056,0.0004590302231567899
C(locus):C(frame),AD_c,0.05943847163977611,1.0,0.06335798367759139,0.8013085243153788,5.31498458142012e-05
C(agency):C(locus):C(frame),AD_c,0.1773329608426404,1.0,0.18902671163314735,0.6638066111649378,0.00015855431261142547
Residual,AD_c,1118.2593586808184,1192.0,,,
C(agency),RIA_c,23.415285244621163,1.0,24.641451324853417,7.908556307327861e-07,0.020253667420274294
C(locus),RIA_c,8.600655737234584,1.0,9.051038135850657,0.002680559245187595,0.007535931320536351
C(frame),RIA_c,32.87192124410377,1.0,34.593294031174345,5.271403599276616e-09,0.028202741853808916
C(agency):C(locus),RIA_c,0.43540819669749875,1.0,0.45820880562743727,0.49859361968073695,0.00038425565126209467
C(agency):C(frame),RIA_c,0.1685728524497992,1.0,0.17740034746267427,0.6736928584890444,0.00014880364902989315
C(locus):C(frame),RIA_c,0.49539777046472505,1.0,0.5213397966250115,0.47041233780632985,0.00043717439615287876
C(agency):C(locus):C(frame),RIA_c,0.32703993440836804,1.0,0.34416572511574534,0.5575455814975211,0.0002886462944249351
Residual,RIA_c,1132.6857190200203,1192.0,,,
C(agency),PR_c,40.58062487698721,1.0,41.90721985076747,1.3953713772480477e-10,0.03396302345636316
C(locus),PR_c,1.49032269728765,1.0,1.5390418731388233,0.21500459628193277,0.0012894776116610753
C(frame),PR_c,2.391139972092596,1.0,2.469307183124922,0.11635446862779611,0.002067283912843439
C(agency):C(locus),PR_c,0.03421310140697159,1.0,0.03533153978739341,0.8509346236910811,2.9639674976541685e-05
C(agency):C(frame),PR_c,0.02414076435275732,1.0,0.024929934473982892,0.8745685175722854,2.0913937156795286e-05
C(locus):C(frame),PR_c,0.00925122262044481,1.0,0.00955364835851086,0.9221529878118027,8.014741433296579e-06
C(agency):C(locus):C(frame),PR_c,0.20369112053652705,1.0,0.21034985527820577,0.6465769384525615,0.00017643686393407004
Residual,PR_c,1154.2666162447158,1192.0,,,
