t,Q_total,cs_mean,rebound_mean,profit_total,profit_ratio_demarketers,profit_ratio_conventional,prop_rate,d_mean,r_mean,n_alive
0,1402.7770523295342,0.2299950252633248,0.0,161.22410148166315,-0.4511412757397847,0.9292528721730342,0.125,0.11875,0.0,8
1,1380.5799281611294,0.2508054607954159,0.0,156.48467649334137,-0.4370253711775903,0.9018140964126593,0.125,0.11875,0.0,8
2,1360.4857902954525,0.2695823198032674,0.0,152.19638454100826,-0.4236227150808312,0.8768970854056454,0.125,0.11875,0.0,8
3,1342.2854519287498,0.2865382483162925,0.0,148.314003938057,-0.41096480371692423,0.8542637700420858,0.125,0.11875,0.0,8
4,1325.7916895323253,0.30186202572573484,0.0,144.79711057356616,-0.3990651821086018,0.8336992508861458,0.125,0.11875,0.0,8
5,1310.8367905226114,0.31567565619435883,0.0,141.60953715009816,-0.38792294992525905,0.8150093983758131,0.125,0.11875,0.0,8
6,1297.331041615236,0.32814047681440145,0.0,138.73174157524355,-0.3775953252164339,0.7980975629722777,0.125,0.11875,0.0,8
7,1285.121321795904,0.3394267259122298,0.0,136.13086214171082,-0.3680345563637061,0.7827806532177306,0.125,0.11875,0.0,8
8,1274.0378294092213,0.3496296116820046,0.0,133.7705639529636,-0.35915618293215057,0.7688517033928733,0.125,0.11875,0.0,8
9,1263.999752264814,0.3588480625781326,0.0,131.6334138071624,-0.3509615474503825,0.7562173938049762,0.125,0.11875,0.0,8
10,1254.9250049339291,0.36718675577558035,0.0,129.70176932825058,-0.34343267165012237,0.7447805226395124,0.125,0.11875,0.0,8
11,1246.7111586588926,0.3747418496016575,0.0,127.95372127942137,-0.33651597429259716,0.7344159145541711,0.125,0.11875,0.0,8
12,1239.2638872523698,0.3815932203292214,0.0,126.36911100050085,-0.3301569568045942,0.7250076532306198,0.125,0.11875,0.0,8
13,1232.5010076645508,0.3877887902274421,0.0,124.93037731295752,-0.32430744411293383,0.7164546585675975,0.125,0.11875,0.0,8
14,1226.378806525216,0.3933978064987292,0.0,123.62812998054821,-0.3189564009569825,0.7087049849863558,0.125,0.11875,0.0,8
15,1220.8323835300212,0.3984728709684021,0.0,122.4485157259941,-0.31406139477696665,0.7016782618818909,0.125,0.11875,0.0,8
16,1215.8122098450526,0.4030766001363895,0.0,121.38095182607108,-0.30959316136230897,0.6953135430540934,0.125,0.11875,0.0,8
17,1211.254678354016,0.4072521052829315,0.0,120.41188943900013,-0.30550172705847195,0.6895310135870242,0.125,0.11875,0.0,8
18,1207.1174741213408,0.4110423999527251,0.0,119.53229808845222,-0.30175888041118387,0.684278203907788,0.125,0.11875,0.0,8
19,1203.3572228524981,0.41447931654073017,0.0,118.7329336809888,-0.29833202346706544,0.6795008719611842,0.125,0.11875,0.0,8
20,1199.9538714619262,0.41759315761419974,0.0,118.00949823785811,-0.5329948517783931,1.218999264539693,0.125,0.11875,0.0,8
21,1196.8709184465615,0.42042247537960414,0.0,117.35421987113506,-0.5278666942798894,1.2119206597126218,0.125,0.11875,0.0,8
22,1194.0667277661698,0.42299155816253675,0.0,116.75824435147365,-0.5231743895213102,1.2054786350488784,0.125,0.11875,0.0,8
23,1191.518375199943,0.4253229976724487,0.0,116.21668412617257,-0.5188878215226245,1.1996215550034548,0.125,0.11875,0.0,8
24,1189.2040914353577,0.4274425627857649,0.0,115.72490091745176,-0.5149767690456025,1.194300183085092,0.125,0.11875,0.0,8
25,1187.0981801718876,0.42937133843213043,0.0,115.2774287156201,-0.5114007756518298,1.1894558045023633,0.125,0.11875,0.0,8
