t,Q_total,cs_mean,rebound_mean,profit_total,profit_ratio_demarketers,profit_ratio_conventional,prop_rate,d_mean,r_mean,n_alive
0,1411.1139069218912,0.22666614123144788,0.0,163.1852787022682,0.06694990750741725,0.8657595767416485,0.125,0.0375,0.0,8
1,1393.6245420470268,0.24417388950507257,0.0,159.4108251850741,0.06485840808024185,0.8458122396372226,0.125,0.0375,0.0,8
2,1378.126916117117,0.25969017366786173,0.0,156.06609827793164,0.06290736243165668,0.8281498860144827,0.125,0.0375,0.0,8
3,1364.3939681282625,0.27344154814185245,0.0,153.1021326501576,0.06110055699663492,0.8125093255161955,0.125,0.0375,0.0,8
4,1352.224567761206,0.28562878752825754,0.0,150.475550141064,0.05943745225931219,0.7986579552899713,0.125,0.0375,0.0,8
5,1341.4405458664369,0.296429821443517,0.0,148.14792081995745,0.0579144078757179,0.7863901577043438,0.125,0.0375,0.0,8
6,1331.8840663152241,0.3060023349738836,0.0,146.0851973437975,0.056525641397578895,0.7755241292895869,0.125,0.0375,0.0,8
7,1323.4152998247405,0.3144860729011199,0.0,144.2572141762929,0.055263969367656506,0.7658990886842804,0.125,0.0375,0.0,8
8,1315.9103649064718,0.3220048814881368,0.0,142.63724420306056,0.05412137256041369,0.7573728175757494,0.125,0.0375,0.0,8
9,1309.2595051156388,0.32866851775068334,0.0,141.2016061382706,0.05308942054940566,0.7498194941816027,0.125,0.0375,0.0,8
10,1303.365475348137,0.3345742527216728,0.0,139.92931688062464,0.05215958482258089,0.7431277837606726,0.125,0.0375,0.0,8
11,1298.1421130900344,0.33980829218727393,0.0,138.80178365133716,0.05132346443335763,0.7371991550090253,0.125,0.0375,0.0,8
12,1293.513073317535,0.34444703569333024,0.0,137.80253134365364,0.050572943679544013,0.7319463950405342,0.125,0.0375,0.0,8
13,1289.4107082141318,0.3485581922470364,0.0,136.91696104126243,0.04990029750510811,0.727292299025183,0.125,0.0375,0.0,8
14,1285.7750750529988,0.35220176903679534,0.0,136.1321361295515,0.049298257156847214,0.7231685135129265,0.125,0.0375,0.0,8
15,1282.553057519866,0.3554309476315747,0.0,135.436592836125,0.04876004602291848,0.7195145150555361,0.125,0.0375,0.0,8
16,1279.6975874541458,0.3582928604722671,0.0,134.82017240159016,0.048279393455621725,0.7162767079980598,0.125,0.0375,0.0,8
17,1277.166955490148,0.36082927900712364,0.0,134.27387240391272,0.04785053266245126,0.7134076272857526,0.125,0.0375,0.0,8
18,1274.9242004091393,0.3630772235296666,0.0,133.78971504456922,0.04746818737055219,0.7108652338576771,0.125,0.0375,0.0,8
19,1272.936568187326,0.36506950363149726,0.0,133.36063045664866,0.04712755087051697,0.7086122917065251,0.125,0.0375,0.0,8
20,1271.1750327626462,0.3668351971671876,0.0,132.98035331781958,0.0750218215538981,1.1321397397779458,0.125,0.0375,0.0,8
21,1269.6138714606568,0.36840007101059846,0.0,132.64333124810247,0.0745893993108764,1.129305085926302,0.125,0.0375,0.0,8
22,1268.230291761557,0.36978696229480523,0.0,132.34464428037637,0.07420478086687449,1.1267930617417499,0.125,0.0375,0.0,8
23,1267.0040940319745,0.37101611428612025,0.0,132.07993208317458,0.07386282772754597,1.1245669278197865,0.125,0.0375,0.0,8
24,1265.9173742657892,0.37210546778326936,0.0,131.84532981400133,0.07355892019759677,1.12259412896335,0.125,0.0375,0.0,8
25,1264.9542656330977,0.37307059674072296,0.0,131.63741234663055,0.07328891405523959,1.1208458210515277,0.125,0.0375,0.0,8
26,1264.1011274080138,0.3739250892597862,0.0,131.45323522446884,0.07304941375471692,1.1192971839712116,0.125,0.0375,0.0,8
27,1263.3460656992315,0.3746820566541996,0.0,131.2902311095611,0.07283752549215759,1.1179265669574838,0.125,0.0375,0.0,8
28,1262.6771523148523,0.37535292984733654,0.0,131.14582470381103,0.07264961496211342,1.1167123566204749,0.125,0.0375,0.0,8
29,1262.0843211721005,0.3759475008792951,0.0,131.01784289679065,0.07248282328514127,1.1156362852685398,0.125,0.0375,0.0,8
30,1261.5589182461106,0.3764744480667834,0.0,130.90441750344212,0.07233480327882007,1.11468263269409,0.125,0.0375,0.0,8
31,1261.093273961471,0.37694146267807477,0.0,130.80389284744797,0.07220346292866298,1.1138374685754213,0.125,0.0375,0.0,8
32,1260.6805911853144,0.3773553611993663,0.0,130.714801584725,0.07208693889506729,1.113088448484182,0.125,0.0375,0.0,8
33,1260.3148459683093,0.3777221848315644,0.0,130.63584327811898,0.07198357249271257,1.1124246331839465,0.125,0.0375,0.0,8
34,1259.990699581803,0.3780472876700529,0.0,130.5658654100774,0.07189188797659074,1.1118363285516975,0.125,0.0375,0.0,8
35,1259.703420564824,0.3783354148547475,0.0,130.50384655575766,0.07181057296300287,1.1113149437614829,0.125,0.0375,0.0,8
36,1259.4488156413308,0.37859077183129297,0.0,130.4488814706601,0.07173846081417506,1.1108528656413275,0.125,0.0375,0.0,8
37,1259.2231684979176,0.37881708573447714,0.0,130.400167874881,0.07167451481953782,1.110443347354537,0.125,0.0375,0.0,8
38,1259.0231855272423,0.3790176597899199,0.0,130.35699474089634,0.07161781401342733,1.1100804097688408,0.125,0.0375,0.0,8
39,1258.8459477443735,0.37919542152816604,0.0,130.31873191377898,0.0715675404780412,1.109758754064531,0.125,0.0375,0.0,8
40,1258.6888681735245,0.3793529655149745,0.0,130.28482091222793,0.07152296799003559,1.1094736842987623,0.125,0.0375,0.0,8
41,1258.5496540826618,0.37949259122154416,0.0,130.25476677605275,0.07148345187951939,1.1092210387900778,0.125,0.0375,0.0,8
42,1258.4262735143311,0.37961633658746263,0.0,130.22813084104712,0.07144841998047384,1.1089971293171665,0.125,0.0375,0.0,8
43,1258.3169256238539,0.3797260077662921,0.0,130.2045243357374,0.07141736456172165,1.1087986872408846,0.125,0.0375,0.0,8
44,1258.2200143917219,0.3798232054879763,0.0,130.18360270650834,0.07138983513745743,1.1086228157604283,0.125,0.0375,0.0,8
45,1258.1341253262585,0.3799093484228684,0.0,130.1650605882338,0.07136543206544108,1.1084669476045719,0.125,0.0375,0.0,8
46,1258.0580048163556,0.3799856938884124,0.0,130.14862734698107,0.07134380084976656,1.1083288075387538,0.125,0.0375,0.0,8
47,1257.990541832829,0.3800533562007207,0.0,130.1340631297174,0.07132462707313018,1.108206379139505,0.125,0.0375,0.0,8
48,1257.9307517111642,0.3801133229389096,0.0,130.1211553633326,0.0713076318909598,1.1080978753501116,0.125,0.0375,0.0,8
49,1257.8777617789128,0.3801664693595936,0.0,130.10971565187702,0.07129256802666774,1.108001712387028,0.125,0.0375,0.0,8
50,1257.8307986178784,0.3802135711719325,0.0,130.0995770267113,0.07127921621342806,1.107916486615482,0.125,0.0375,0.0,8
51,1257.7891767751375,0.3801412928629361,0.0,130.0905915094262,0.07126738203369963,1.1078409540562677,0.125,0.03,0.0,8
52,1260.0835887425574,0.3800149566379129,0.0,130.5097075366773,0.20198737504905925,1.0927686280763917,0.125,0.03,0.0,8
53,1260.195300767166,0.37990300667266136,0.0,130.53383699472658,0.20204634825490933,1.092967576247546,0.125,0.03,0.0,8
54,1260.294290651415,0.37980380476660125,0.0,130.55521849817907,0.20209858784215598,1.0931438699467453,0.125,0.03,0.0,8
55,1260.382007233598,0.37971589926484806,0.0,130.5741649946706,0.20214486342497429,1.0933000887575381,0.125,0.03,0.0,8
56,1260.4597343546402,0.3796380038158889,0.0,130.59095379227432,0.20218585649780604,1.0934385185591764,0.125,0.03,0.0,8
57,1260.5286096481332,0.37956897854815136,0.0,130.60583061821697,0.20222217055791086,1.0935611849618756,0.125,0.03,0.0,8
58,1260.5896411906033,0.37950781339002665,0.0,130.61901321538812,0.2022543400581612,1.0936698829368936,0.125,0.03,0.0,8
59,1260.6437222556865,0.37945361328927,0.0,130.63069452927834,0.2022828383266697,1.0937662030742779,0.125,0.03,0.0,8
60,1260.6916443881194,0.37940558511549194,0.0,130.6410455319869,0.20230808457370925,1.0938515548519059,0.125,0.03,0.0,8
61,1260.7341089888637,0.3793630260540882,0.0,130.6502177246261,0.20233045009200556,1.093927187255847,0.125,0.03,0.0,8
62,1260.7717375809216,0.3793253133217746,0.0,130.6583453547483,0.20235026374398102,1.0939942070534345,0.125,0.03,0.0,8
63,1260.805080906062,0.37929189505323224,0.0,130.665547381245,0.2023678168185095,1.0940535949861432,0.125,0.03,0.0,8
64,1260.8346269856102,0.37926228222551156,0.0,130.67192921548082,0.2023833673301004,1.0941062201190386,0.125,0.03,0.0,8
65,1260.8608082632506,0.3792360415020187,0.0,130.67758426413818,0.20239714382485632,1.094152852556555,0.125,0.03,0.0,8
66,1260.8840079344006,0.3792127888913739,0.0,130.68259529636111,0.20240934875004893,1.0941941747106063,0.125,0.03,0.0,8
67,1260.9045655547714,0.3791921841283488,0.0,130.68703565520133,0.20242016143760358,1.0942307912857616,0.125,0.03,0.0,8
68,1260.9227820102196,0.37917392569465935,0.0,130.69097033110216,0.2024297407458877,1.0942632381275619,0.125,0.03,0.0,8
69,1260.9389239206075,0.3791577464067514,0.0,130.69445691312828,0.2024382273990521,1.0942919900633663,0.125,0.03,0.0,8
70,1260.9532275421475,0.37914340950601644,0.0,130.6975464318674,0.2024457460586688,1.0943174678504535,0.125,0.03,0.0,8
71,1260.9659022253236,0.3791307051942235,0.0,130.70028410633662,0.2024524071584132,1.0943400443329747,0.125,0.03,0.0,8
72,1260.9771334790241,0.37911944756346855,0.0,130.7027100058299,0.2024583085289229,1.0943600498978638,0.125,0.03,0.0,8
73,1260.98708568571,0.37910947187571964,0.0,130.70485963639047,0.20246353683687573,1.0943777773095067,0.125,0.03,0.0,8
74,1260.9959045073745,0.3791006321521456,0.0,130.70676446049276,0.20246816885963015,1.0943934859938897,0.125,0.03,0.0,8
75,1261.0037190175021,0.37909279903695503,0.0,130.70845235754211,0.20247227261416162,1.0944074058349404,0.125,0.03,0.0,8
76,1261.0106435902335,0.37908585790448435,0.0,130.70994803192977,0.20247590835705775,1.094419740538569,0.125,0.03,0.0,8
77,1261.0167795743837,0.3790797071818368,0.0,130.7112733746169,0.2024791294702636,1.0944306706136522,0.125,0.03,0.0,8
78,1261.0222167768075,0.3790742568625279,0.0,130.71244778353835,0.2024819832456754,1.0944403560135567,0.125,0.03,0.0,8
79,1261.0270347768524,0.37906942718938436,0.0,130.713488447521,0.2024845115801422,1.0944489384768965,0.125,0.03,0.0,8
80,1261.0313040911026,0.3790651474874262,0.0,130.71441059786545,0.20248675159110802,1.0944565436017235,0.125,0.03,0.0,8
81,1261.0350872054773,0.3790613551296507,0.0,130.71522773127623,0.20248873616195506,1.0944632826835259,0.125,0.03,0.0,8
82,1261.0384394897933,0.37905799462058604,0.0,130.715951807405,0.20249049442513511,1.094469254343928,0.125,0.03,0.0,8
83,1261.0414100081734,0.3789762877515444,0.0,130.71659342389626,0.2024920521900941,1.094474545973935,0.0,0.024,0.0,8
84,1263.1736971074308,0.37885823885006076,0.0,131.09592216963233,0.32357460307089625,1.0804370583678482,0.0,0.024,0.0,8
85,1263.2779178510084,0.3787536408624313,0.0,131.11843743100428,0.3236493458018629,1.0806198810522927,0.0,0.024,0.0,8
86,1263.3702627595605,0.3786609611443023,0.0,131.138387099152,0.3237155622017551,1.0807818726130936,0.0,0.024,0.0,8
87,1263.4520850702895,0.3785788416860743,0.0,131.15606352117481,0.323774225441507,1.0809254065095353,0.0,0.024,0.0,8
88,1263.5245838211458,0.3785060792144384,0.0,131.17172573153007,0.3238261975076772,1.0810525857895317,0.0,0.024,0.0,8
89,1263.588821421433,0.37844160756120665,0.0,131.18560324795158,0.32387224192838526,1.08116527389444,0.0,0.024,0.0,8
90,1263.6457392203342,0.3783844820410939,0.0,131.19789943483653,0.32391303503769203,1.0812651219554206,0.0,0.024,0.0,8
91,1263.6961713014666,0.3783338656095454,0.0,131.2087944833837,0.323949175947399,1.0813535929807376,0.0,0.024,0.0,8
