policy,r_demarketer,lambda_star,max_throughput_reduction,any_PMV
0.0,0.0,,0.006830270612658637,False
0.0,0.125,,0.05499451004559195,False
0.0,0.25,0.6,0.1547743718834756,True
0.0,0.375,0.525,0.3025551198455308,True
0.0,0.5,0.525,0.33380983787864954,True
0.0,0.625,0.375,0.34964459407662685,True
0.0,0.75,0.3,0.35276944474256205,True
0.0,0.875,0.075,0.3559365883575533,True
0.0,1.0,0.0,0.35923548755696366,True
0.3,0.0,,0.04842388306219727,False
0.3,0.125,,0.18845132439566298,False
0.3,0.25,0.525,0.3426416522487452,True
0.3,0.375,0.44999999999999996,0.36593504510758934,True
0.3,0.5,0.3,0.3678191203035173,True
0.3,0.625,0.0,0.3699992846095719,True
0.3,0.75,0.0,0.37400288823077454,True
0.3,0.875,0.0,0.37823869643123653,True
0.3,1.0,0.0,0.38246389357660865,True
0.6,0.0,,0.0836448714540631,False
0.6,0.125,0.525,0.39618236824009123,True
0.6,0.25,0.375,0.38701889271173046,True
0.6,0.375,0.22499999999999998,0.39163948866689224,True
0.6,0.5,0.0,0.3979472238538623,True
0.6,0.625,0.0,0.40299555815452986,True
0.6,0.75,0.0,0.3978573094888561,True
0.6,0.875,0.0,0.4008378620759106,True
0.6,1.0,0.0,0.404091040517226,True
