policy,lambda_hi,r_hi,n,PMV_rate,mean_reduction,mean_relative_profit,mean_leakage
0.0,False,False,25,0.0,0.017582805379613188,0.4709629523584568,0.7683543522954932
0.0,False,True,20,0.5,0.11846028499788223,1.7809749861300053,0.16629985992319365
0.0,True,False,20,0.25,0.08054065011702775,0.8611669199732296,0.1076760816303965
0.0,True,True,16,1.0,0.29722205273601443,4.559932584488431,-1.079259782591031
0.3,False,False,25,0.04,0.04470175647847185,0.41681305689630027,0.5302192013857763
0.3,False,True,20,1.0,0.23961698596682468,2.5958209309083986,-0.5198694457922618
0.3,True,False,20,0.45,0.19358340042880548,1.2810986847726769,-0.8933134195410938
0.3,True,True,16,1.0,0.35691666843676384,5.738574369150911,-1.452249748766829
0.6,False,False,25,0.28,0.1143994163443865,0.5565422319647295,0.11307073373422749
0.6,False,True,20,1.0,0.29587161337643253,3.337616389234989,-0.8606090760281747
0.6,True,False,20,0.7,0.29053993895287544,1.9076973303010143,-1.584738839015416
0.6,True,True,16,1.0,0.3851420018537097,6.738281010420269,-1.6643499225513136
