precarity_mean,precarity_sd,lambda_star,max_throughput_reduction,share_below_flip_point,mean_flip_point_S_star,required_stringency
0.0,0.6,0.56,0.2142321999195522,0.00025,0.35280845553791945,0.65
0.0,1.0,0.56,0.2134849902533147,0.01625,0.35280845553791945,0.65
0.0,1.4,0.56,0.21261568024872116,0.062275,0.35280845553791945,0.65
0.5,0.6,0.6,0.21849957910135087,0.003025,0.324821557153713,0.65
0.5,1.0,0.6,0.21717811572373408,0.0499,0.324821557153713,0.65
0.5,1.4,0.6,0.20981395972723968,0.116725,0.324821557153713,0.65
1.0,0.6,0.64,0.13688313058721882,0.028975,0.30298824606451397,0.65
1.0,1.0,0.64,0.13524604156425263,0.124275,0.30298824606451397,0.65
1.0,1.4,0.64,0.1330810234219907,0.204375,0.30298824606451397,0.65
1.5,0.6,0.68,0.1294232828674409,0.141575,0.2851877912152296,0.65
1.5,1.0,0.68,0.12789816464289494,0.258425,0.2851877912152296,0.65
1.5,1.4,0.68,0.12557980072761893,0.32165,0.2851877912152296,0.65
2.0,0.6,,0.018715347299392542,0.41,0.2702299937566154,0.65
2.0,1.0,,0.018425368246320805,0.44425,0.2702299937566154,0.65
2.0,1.4,,0.01808873222172151,0.458625,0.2702299937566154,0.65
2.5,0.6,,0.01804324145715563,0.72875,0.25738038223981835,0.65
2.5,1.0,,0.01771539881045654,0.640325,0.25738038223981835,0.65
2.5,1.4,,0.017354770415047505,0.599175,0.25738038223981835,0.65
