parameter,direction,value,throughput_reduction,d_throughput_reduction,relative_profit_demarketers,d_relative_profit,regime,PMV
beta_leg,-20%,0.96,0.38180161193235,-0.012857306062264262,5.126082320892766,-0.9335894218568832,tipping,True
beta_leg,+20%,1.44,0.40848873774429784,0.013829819749683558,7.082683342694253,1.0230115999446037,tipping,True
beta_disc,-20%,0.68,0.4080759912264358,0.013417073231821508,7.089369750849524,1.0296980080998752,tipping,True
beta_disc,+20%,1.02,0.38178366994378204,-0.012875248050832233,5.09803538964963,-0.9616363531000189,tipping,True
beta_p,-20%,0.48,0.3966043396632804,0.0019454216686661252,6.201020000040084,0.141348257290435,tipping,True
beta_p,+20%,0.72,0.39273138655670037,-0.0019275314379139097,5.920120358746049,-0.13955138400360045,tipping,True
kappa_signal,-20%,0.064,0.38122663465171747,-0.013432283342896811,6.054573262869249,-0.005098479880400575,tipping,True
kappa_signal,+20%,0.096,0.4074096556685056,0.012750737673891344,6.062522194271119,0.002850451521469566,tipping,True
gamma_micro,-20%,0.27999999999999997,0.39088266018330614,-0.003776257811308137,5.311097756654618,-0.7485739860950309,tipping,True
gamma_micro,+20%,0.42,0.39457071774176444,-8.82002528498349e-05,6.971219606531931,0.9115478637822818,tipping,True
theta_relax,-20%,0.096,0.41835719141801836,0.02369827342340408,5.971172037712333,-0.08849970503731619,tipping,True
theta_relax,+20%,0.144,0.3763469127957142,-0.018312005198900083,6.089617918207679,0.029946175458030133,tipping,True
elasticity_reduction,-20%,0.44000000000000006,0.3613197980531814,-0.033339119941432904,5.613892397545264,-0.445779345204385,tipping,True
elasticity_reduction,+20%,0.66,0.4372623599358835,0.04260344194126925,6.983700509579283,0.9240287668296334,tipping,True
service_margin,-20%,0.30400000000000005,0.3946589179946143,0.0,4.595860686671657,-1.4638110560779918,tipping,True
service_margin,+20%,0.45599999999999996,0.3946589179946143,0.0,7.523482798827638,1.4638110560779891,tipping,True
unit_margin,-20%,0.17600000000000002,0.3946589179946143,0.0,7.868835916688657,1.809164173939008,tipping,True
unit_margin,+20%,0.264,0.3946589179946143,0.0,4.853562293456974,-1.2061094492926747,tipping,True
durability_unit_drag,-20%,0.24,0.3799823370066196,-0.01467658098799468,6.592901925533592,0.5332301827839432,tipping,True
durability_unit_drag,+20%,0.36,0.409335498982609,0.014676580987994736,5.526441559965706,-0.5332301827839432,tipping,True
sacrifice_discount_reconfig,-20%,0.32000000000000006,0.4059386587833167,0.01127974078870242,6.517691109458127,0.458019366708478,tipping,True
sacrifice_discount_reconfig,+20%,0.48,0.3839641464574614,-0.01069477153715287,5.626387183805431,-0.43328455894421847,tipping,True
imitation_rate,-20%,0.064,0.37382567272280176,-0.020833245271812517,5.889690971467772,-0.16998077128187727,tipping,True
imitation_rate,+20%,0.096,0.4063559238364763,0.011697005841862007,6.193237596283262,0.1335658535336126,tipping,True
precarity_mean,-20%,0.27999999999999997,0.3947787972658819,0.00011987927126760889,6.107693903448578,0.048022160698929284,tipping,True
precarity_mean,+20%,0.42,0.3945246121076238,-0.0001343058869904823,6.01170999690707,-0.04796174584257873,tipping,True
required_stringency,-20%,0.36000000000000004,0.3954499457456265,0.0007910277510121966,6.3253917918317155,0.26572004908206637,tipping,True
required_stringency,+20%,0.54,0.39223155084770867,-0.0024273671469056124,5.581526230198015,-0.4781455125516345,tipping,True
d_demarketer,-20%,0.5599999999999999,0.33572579428285493,-0.05893312371175935,6.410523302748738,0.35085155999908846,tipping,True
d_demarketer,+20%,0.84,0.4670316188144747,0.07237270081986041,6.1367842940470085,0.07711255129735939,tipping,True
share_demarketers,-20%,0.2,0.3946589179946143,0.0,6.059671742749649,0.0,tipping,True
share_demarketers,+20%,0.3,0.3946589179946143,0.0,6.059671742749649,0.0,tipping,True
