construct,label,n_items,alpha,CR_omega,AVE,min_loading,max_loading,AVE_ok,CR_ok
PA,Perceived autonomy,4,0.8468445017885912,0.8474659655019811,0.5817610964171183,0.7351861530077897,0.810950614699073,True,True
CE,Collective efficacy,3,0.7915376250617063,0.792063226079666,0.5597271060827121,0.715361598176121,0.7803811543757921,True,True
RIA,Restraint identity affirmation,4,0.8583751523884853,0.8582409914092702,0.6029003108719853,0.7309158442837362,0.8241502428150889,True,True
RSV,Restraint signaling value,3,0.7896287340065502,0.7911272844479185,0.5588436382245189,0.6856967586491579,0.7834853305882044,True,True
AD,Anticipated deprivation,4,0.8535662733740326,0.8539491302946216,0.5939497570618241,0.7495063076874562,0.802208391256175,True,True
PR,Psychological reactance,4,0.8375921361334525,0.8408421556020315,0.5712335898981197,0.680607863508128,0.8386401794863411,True,True
CS,Chosen sufficiency,4,0.859836971353132,0.8589546766112162,0.603842660483275,0.7489105787152508,0.8190687132272397,True,True
SCB,Sufficiency commitment behavior,3,0.8201294568968838,0.8204938613986645,0.6040003151573495,0.7521697667425701,0.8118854149291718,True,True
BSE,Brand sufficiency equity,4,0.8476622543679673,0.8492403133280381,0.586465285517221,0.6872414103429174,0.8358099737186353,True,True
SPS,Sufficiency policy support,3,0.803501898151195,0.80474207536042,0.5791084460996339,0.7196405615218758,0.7896409662038278,True,True
CDC,Compensatory displacement consumption,3,0.7666051730955399,0.767489702624392,0.5247010812989092,0.6719207531873104,0.7738601481855975,True,True
VS,Voluntary simplicity,3,0.788020340583918,0.7899046582311767,0.5575532704090255,0.6766812656365108,0.8121295630702356,True,True
FRUG,Frugality,3,0.7852797670108793,0.7859775390886427,0.5508506828583192,0.6967873891734541,0.770725844088079,True,True
MAT,Materialism,3,0.7981706485153246,0.7998363660509286,0.571890825255792,0.7062598251473057,0.8060537260415218,True,True
CR,Constrained restraint,3,0.7884999377113472,0.7891372346884749,0.5554002055545207,0.7174311842578533,0.7829084656785834,True,True
