,PA,CE,RIA,RSV,AD,PR,CS,SCB,BSE,SPS,CDC,VS,FRUG,MAT,CR
PA,,,,,,,,,,,,,,,
CE,0.096,,,,,,,,,,,,,,
RIA,0.458,0.191,,,,,,,,,,,,,
RSV,0.213,0.081,0.454,,,,,,,,,,,,
AD,0.302,0.037,0.028,0.085,,,,,,,,,,,
PR,0.215,0.051,0.026,0.066,0.673,,,,,,,,,,
CS,0.387,0.325,0.487,0.429,0.36,0.414,,,,,,,,,
SCB,0.256,0.166,0.291,0.219,0.247,0.275,0.513,,,,,,,,
BSE,0.17,0.16,0.125,0.053,0.279,0.374,0.372,0.199,,,,,,,
SPS,0.187,0.301,0.227,0.187,0.13,0.157,0.417,0.227,0.163,,,,,,
CDC,0.127,0.117,0.126,0.039,0.304,0.405,0.302,0.233,0.189,0.097,,,,,
VS,0.222,0.212,0.261,0.18,0.184,0.18,0.531,0.296,0.246,0.208,0.127,,,,
FRUG,0.159,0.138,0.178,0.115,0.122,0.134,0.345,0.152,0.159,0.188,0.058,0.191,,,
MAT,0.137,0.119,0.179,0.09,0.123,0.134,0.344,0.162,0.057,0.137,0.162,0.188,0.115,,
CR,0.035,0.073,0.043,0.034,0.039,0.027,0.12,0.098,0.04,0.083,0.052,0.07,0.073,0.05,
