path,N,true,mean_est,bias,pct_bias,rmse,emp_se,mean_analytic_se,coverage_95,power
AD<-agency,200,-0.280426459819997,-0.28086766278875813,-0.0004412029687611563,-0.157332859760376,0.1007178555338108,0.10081775738270164,0.10153894710325273,0.94,0.802
AD<-agency,400,-0.280426459819997,-0.28312634446591484,-0.0026998846459178605,-0.9627781371420024,0.06710571030782914,0.0671185277875025,0.0712449926442771,0.96,0.982
AD<-agency,800,-0.280426459819997,-0.28836096353221685,-0.007934503712219876,-2.8294418855070465,0.0500937950168806,0.04951095453808749,0.050075843008906724,0.952,1.0
AD<-agency,1200,-0.280426459819997,-0.28441400061137584,-0.003987540791378863,-1.4219559716027537,0.04086465715608959,0.04071037204086011,0.04071950093681867,0.946,1.0
AD<-agency,1600,-0.280426459819997,-0.2849597082349795,-0.004533248414982538,-1.6165551631169972,0.03450466824725339,0.03423983824007478,0.03534427728918121,0.95,1.0
AD<-agency,2400,-0.280426459819997,-0.28405923711366526,-0.003632777293668288,-1.2954474039244293,0.029545186191214674,0.02935036360755931,0.02884185514798907,0.95,1.0
AD<-frame,200,-0.23739953500314273,-0.24283873688628654,-0.005439201883143813,-2.291159451112192,0.10006502477446437,0.10001715416989758,0.10158943670777025,0.946,0.664
AD<-frame,400,-0.23739953500314273,-0.2333094713146184,0.004090063688524326,1.7228608676309969,0.06509729100803896,0.06503374086203365,0.07121969164989861,0.96,0.932
AD<-frame,800,-0.23739953500314273,-0.2362368454634998,0.001162689539642936,0.48976066428379755,0.050556893984613126,0.05059414211980963,0.0500685505981253,0.95,1.0
AD<-frame,1200,-0.23739953500314273,-0.23418174045660975,0.0032177945465329816,1.355434224619197,0.04070894454568198,0.04062221427821783,0.040717221172050455,0.944,1.0
AD<-frame,1600,-0.23739953500314273,-0.23385018682003075,0.0035493481831119778,1.4950948337156769,0.03590252946039348,0.03576243353624484,0.03534418627864068,0.938,1.0
