path,hypothesis,true_b,200,400,800,1200,1600,2400,N_for_80pct
AD<-agency,H1/H9,-0.280426459819997,0.802,0.982,1.0,1.0,1.0,1.0,200.0
AD<-frame,H3,-0.23739953500314273,0.664,0.932,1.0,1.0,1.0,1.0,301.4925373134328
AD<-stringency2,H7,1.312633694222495,0.374,0.584,0.844,0.974,0.992,1.0,732.3076923076924
AD<-stringency:precarity,H8/H9,0.7283184656902487,0.982,1.0,1.0,1.0,1.0,1.0,200.0
BSE<-int:sac,H13,0.22423675373640375,0.056,0.094,0.086,0.144,0.206,0.254,
BSE<-intensity|no_sacrifice,H13,0.07753995743398714,0.062,0.042,0.056,0.052,0.054,0.052,
CDC<-CS,H12,-0.19101877228924197,0.738,0.956,1.0,1.0,1.0,1.0,256.88073394495416
CDC<-CS:community,H12,-0.10761035507759038,0.356,0.668,0.922,0.986,1.0,1.0,607.8740157480315
CE<-locus,H2,0.6626838381835466,1.0,1.0,1.0,1.0,1.0,1.0,200.0
CE<-locus:collectivism,H2,0.219272652183856,0.718,0.952,0.998,1.0,1.0,1.0,270.08547008547015
CS<-AD,H6,-0.2114683932836494,0.894,0.996,1.0,1.0,1.0,1.0,200.0
CS<-PR,H6,-0.25701988484961835,0.978,1.0,1.0,1.0,1.0,1.0,200.0
CS<-RIA,H4,0.3144916340359356,0.998,1.0,1.0,1.0,1.0,1.0,200.0
CS<-RIA:symbolic,H10,0.10486070735444585,0.44,0.756,0.966,1.0,1.0,1.0,483.8095238095239
CS<-RSV,H5,0.15415931346100983,0.65,0.932,0.998,1.0,1.0,1.0,306.3829787234043
CS<-stringency,H7,1.3078687316152104,0.24,0.408,0.652,0.84,0.922,0.982,1114.8936170212767
CS<-stringency2,H7,-1.6345122041500846,0.316,0.588,0.862,0.966,0.994,1.0,709.4890510948906
PA<-agency,H1,0.6762766885633896,1.0,1.0,1.0,1.0,1.0,1.0,200.0
PA<-locus:collectivism,H2,0.13251795811666608,0.348,0.64,0.882,0.98,0.994,1.0,664.4628099173555
PR<-AD,H10,0.5362571080233863,1.0,1.0,1.0,1.0,1.0,1.0,200.0
PR<-AD:symbolic,H10,0.13976572055347405,0.644,0.936,0.996,1.0,1.0,1.0,306.8493150684932
RIA<-PA,H4,0.37486706284310184,1.0,1.0,1.0,1.0,1.0,1.0,200.0
RIA<-frame,H3,0.26874647189071826,0.602,0.868,0.99,1.0,1.0,1.0,348.87218045112786
RSV<-RIA:symbolic,H5,0.11729259036049204,0.524,0.844,0.984,1.0,1.0,1.0,372.5
SCB<-CS,H11,0.3931867849688278,1.0,1.0,1.0,1.0,1.0,1.0,200.0
SCB<-CS:community,H11,0.1305991001053836,0.584,0.884,0.996,1.0,1.0,1.0,344.0
SPS<-CS,H14,0.3260588066319826,0.998,1.0,1.0,1.0,1.0,1.0,200.0
SPS<-CS:growth_endorse,H14,-0.12156368552197397,0.456,0.788,0.968,1.0,1.0,1.0,426.6666666666667
