dv,predictor,b,se,beta_std,p
PA,agency,0.7466131741427655,0.0475294989719091,0.38847414494832333,0.0
PA,locus,0.3562528888784826,0.04624329389940772,0.1853759482623178,1.3100631690576847e-14
PA,frame,0.2665371590896023,0.046087068813398364,0.13872267555050838,7.3232118147359415e-09
PA,stringency,-0.2647694802305905,0.08908486577937921,-0.07086637015976506,0.0029576654013419024
PA,precarity,-0.2080558489392693,0.02126854556131812,-0.236379609959948,0.0
CE,locus,0.6163458615593231,0.04962504503372155,0.33587872395391594,0.0
CE,community,0.18024119208835515,0.023846909400656587,0.20013503766678506,4.085620730620576e-14
CE,frame,0.12960855327453397,0.048103207405470694,0.07064580438084095,0.007051868849758058
RIA,PA,0.41748838078482675,0.02843274879260824,0.4102459080393096,0.0
RIA,frame,0.31704160517908186,0.0475286087838923,0.16214584154489844,2.548605770869017e-11
RIA,CE,0.14522952398780448,0.028753603984140327,0.13626733401989558,4.398977728747866e-07
RIA,growth_endorse,-0.1652227593319361,0.023468413498992674,-0.16840281498742155,1.9193535649719706e-12
RSV,RIA,0.39928222529920854,0.02504681906840042,0.43326969747133837,0.0
RSV,symbolic,0.4541826482398601,0.022531657843968784,0.5041577342417035,0.0
AD,agency,-0.3358302939917637,0.03769468627027617,-0.17648707464472432,0.0
AD,frame,-0.262866473826654,0.03710502463921631,-0.1381819941214628,1.396660564978447e-12
AD,stringency,1.7044062184420872,0.07696606708532334,0.4607569978005106,0.0
AD,precarity,0.44494489894032824,0.018414120079928976,0.5105789182256236,0.0
AD,symbolic,0.12971906666645575,0.018575002770806245,0.13639174062763404,2.878586258248106e-12
PR,AD,0.6740466603904223,0.02957244643170245,0.6488789894490805,0.0
PR,agency,-0.08795011182315471,0.04511791247223056,-0.044494177355997575,0.05125493964435557
CS,RIA,0.29918322956263443,0.02660609134346414,0.29626945115024217,0.0
CS,RSV,0.36614032562912296,0.02976476694546553,0.33413260137013784,0.0
CS,CE,0.23733744040139956,0.02524991300443533,0.2205224083478941,0.0
CS,PR,-0.2836493699527309,0.031863354748630994,-0.28387751843719733,0.0
CS,AD,-0.19394364651702142,0.03258434803746079,-0.18685231570914645,2.6480555526120497e-09
SCB,CS,0.49257282893120224,0.03129209678048507,0.5057182080930211,0.0
SCB,PR,-0.07099565128012787,0.029206615284916315,-0.07294895299766802,0.015065227976653217
BSE,CS,0.2794335045481785,0.030273470568939167,0.28232828943649346,0.0
BSE,PR,-0.22658518932118055,0.03032178497472371,-0.22911663122493187,7.860379014346108e-14
BSE,demkt_intensity,0.2572923623899386,0.0842624496540772,0.07537172022862497,0.002262158101552947
BSE,demkt_sacrifice,0.2996920048324702,0.08508022096501207,0.08698213346780749,0.0004275553071420024
SPS,CS,0.34847013207107524,0.028865977965952517,0.3702884793401889,0.0
SPS,CE,0.17031043250343925,0.03140651404972622,0.16815212675022997,5.8681116854586435e-08
CDC,CS,-0.2420478008982831,0.03027431562263078,-0.2611564419448531,1.3322676295501878e-15
CDC,PR,0.2490309515581807,0.030524161566471766,0.26890699943457935,4.440892098500626e-16
CDC,symbolic,0.19894375261468336,0.02456156197606272,0.21743882456323904,4.440892098500626e-16
