effect,estimate,boot_se,ci_lo,ci_hi,excludes_zero,boot_p_two_sided
H4_serial_agency_PA_RIA_CS,0.08924181559519019,0.0097077726785066,0.07108781683571654,0.10941703309879233,True,0.0
H4_serial_agency_PA_RIA_RSV_CS,0.01307514652611172,0.002459890729759463,0.008451411649421323,0.0181925901910888,True,0.0
H1_total_routeA_agency_to_CS,0.10231696212130191,0.01035291131238264,0.0826680919884504,0.12318111479997373,True,0.0
H1_routeB_agency_AD_PR_CS,0.048478686224736285,0.006804483972055487,0.03573103985652967,0.06225297599149747,True,0.0
H1_routeB_agency_AD_CS,0.06673337780795244,0.010380075517557458,0.04756997047197637,0.08821376443218212,True,0.0
H1_net_agency_to_CS,0.21752902615399064,0.01758021438976919,0.1848510437380223,0.25328538562383124,True,0.0
H3_frame_via_RIA,0.10223035730911346,0.015229106047433542,0.07345510784201711,0.13291324048717626,True,0.0
H3_frame_via_AD_PR,0.034505121659607854,0.005968066361307574,0.02341163568581384,0.046657222577587226,True,0.0
H3_frame_via_AD_direct,0.047498055317453054,0.008769450492044287,0.03149225750763136,0.06642523766989557,True,0.0
H3_frame_net,0.18423353428617437,0.019326988299689773,0.14744548637403976,0.22285898862803075,True,0.0
H2_cond_locus_CE_CS@lowColl,0.07798955317941268,0.012697662239183513,0.054714142088353374,0.10413592237131218,True,0.0
H2_cond_locus_CE_CS@meanColl,0.11388104930902584,0.01421038567486251,0.08703165643862328,0.1424645404577299,True,0.0
H2_cond_locus_CE_CS@highColl,0.14977254543863902,0.01805408605856096,0.11539520625127314,0.18604954488604347,True,0.0
H2_index_modmed,0.035891496129613155,0.006454088924613478,0.02398305782635388,0.049034159196946786,True,0.0
H9_cond_stringency_AD_PR_CS@lowPrec,-0.32683323607578907,0.03619872032269076,-0.3993670875906342,-0.25894901227189515,True,0.0
H9_cond_stringency_AD_PR_CS@meanPrec,-0.5762173094603934,0.04059006757991015,-0.6556315479476791,-0.49791316553942144,True,0.0
H9_cond_stringency_AD_PR_CS@highPrec,-0.8256013828449977,0.05730828228872132,-0.9380087097337474,-0.7168421830287086,True,0.0
H9_index_modmed,-0.24938407338460433,0.025489992149869415,-0.301527899330744,-0.20096292424980425,True,0.0
H10_RIA_to_CS@lowSym,0.2084355921412806,0.02861589853823363,0.1528875098102081,0.26385557529442577,True,0.0
H10_AD_to_PR@lowSym,0.42813866090914315,0.028651854146545055,0.37137780780799096,0.48329433026322355,True,0.0
H10_RIA_to_CS@highSym,0.4523155181168086,0.028450566934745077,0.39765603396868177,0.5096298052421283,True,0.0
H10_AD_to_PR@highSym,0.6783630130907192,0.028904691280065776,0.6220387600831107,0.7346178875090814,True,0.0
H10_polarization_gap_RouteA,0.24387992597552802,0.03837223751292703,0.1701883152244904,0.32084811283531034,True,0.0
H10_polarization_gap_RouteB,0.250224352181576,0.04068284211052557,0.1705012635910312,0.3300880105406175,True,0.0
H11_cond_CS_to_SCB@lowComm,0.23353941988859261,0.032677426948427846,0.1702282771437948,0.2981497467128189,True,0.0
H11_cond_CS_to_SCB@meanComm,0.3684088543636494,0.023135189410773,0.323121592034008,0.41333523356325763,True,0.0
H11_cond_CS_to_SCB@highComm,0.5032782888387062,0.029572811993896334,0.44520123310331583,0.5603373453450252,True,0.0
H11_index_mod,0.13486943447505678,0.020879313483104414,0.09423320910130493,0.17527725066073055,True,0.0
H12_cond_CS_to_CDC@lowComm,-0.09106237652770931,0.03577109824115361,-0.16335866729256382,-0.02039756350558933,True,0.01
H12_cond_CS_to_CDC@meanComm,-0.18456205158162914,0.025502534721292647,-0.23453961645666546,-0.13459066483761836,True,0.0
H12_cond_CS_to_CDC@highComm,-0.27806172663554896,0.03119571879703531,-0.33760473531475027,-0.21799149295011508,True,0.0
H12_index_mod,-0.09349967505391983,0.02181726135678458,-0.1367162855226086,-0.05060796880615897,True,0.0
H14_cond_CS_to_SPS@lowGrowth,0.3916028288862258,0.031845658129610425,0.3287851209506603,0.4550691888174668,True,0.0
H14_cond_CS_to_SPS@meanGrowth,0.2874114506167419,0.023262208172639253,0.2409755084495517,0.33210209146733904,True,0.0
H14_cond_CS_to_SPS@highGrowth,0.183220072347258,0.032348482412416786,0.11969664710275844,0.24684090644858062,True,0.0
H14_index_mod,-0.10419137826948387,0.022116844236464334,-0.14879234152705417,-0.06172754108233369,True,0.0
