path,DE,FR,SE,BR,sd_across_countries,perm_p_heterogeneity,heterogeneous,hypothesis
PA<-agency,0.6681933239753622,0.7533254383227213,0.7656080520417128,0.6677977586977939,0.05304869042932735,0.775,False,H1
PA<-locus:collectivism,0.1123907640670336,-0.0020936174258680516,0.1765582906491625,0.12830652393414338,0.07567826119077434,0.145,False,H2
CE<-locus,0.5344886882980139,0.5865295336281362,0.6645933985779453,0.5106331244990189,0.06816803446137167,0.655,False,H2
CE<-locus:collectivism,0.1314350175128981,0.1599143622346309,0.16112732210224356,0.28108545507548355,0.06655938336590338,0.29,False,H2
RIA<-PA,0.3730366699126094,0.3962107222151422,0.358799043523781,0.41782348597533214,0.02597472435676724,0.7575,False,H4
RIA<-frame,0.32339587761951144,0.31728241555794495,0.27891880370896904,0.3090307568182036,0.019724197330028847,0.99,False,H3
RSV<-RIA:symbolic,0.09576669748096259,0.16909622092917626,0.08125900118085927,0.04969649060218091,0.050561860685891837,0.2275,False,H5
AD<-agency,-0.2991726295540836,-0.2761714324939759,-0.4036652016596689,-0.36586171151204283,0.05889489050955497,0.5275,False,H1/H9
AD<-frame,-0.1979703189831143,-0.21544249967907125,-0.36997351440026177,-0.19041191159193321,0.08499815679771992,0.21,False,H3
AD<-stringency2,1.1942602182411917,1.0057816262240955,1.021973609849544,2.401975477500929,0.6694405380568995,0.24,False,H7
AD<-stringency:precarity,0.8036142594969886,0.7260335284149197,0.5311983127807429,0.8872216462761189,0.15218256513383946,0.21,False,H8/H9
PR<-AD,0.6052372144091709,0.5163142215726678,0.5073981136478286,0.5980629641694747,0.05205263936318811,0.19,False,H10
PR<-AD:symbolic,0.21111251969059355,0.10366605584283298,0.08817034698440412,0.09623668511082467,0.05789095794881213,0.135,False,H10
CS<-RIA,0.3012359631471855,0.3690971570135509,0.3777333669775042,0.2714679867752426,0.051834268649000544,0.21,False,H4
CS<-RSV,0.19976831445085377,0.1121881276328493,0.11035560697587682,0.1362915659691995,0.041784393836476544,0.485,False,H5
CS<-PR,-0.2581926237696677,-0.2941842425785221,-0.27541096956760514,-0.20803585517915288,0.036992066674100245,0.6025,False,H6
CS<-AD,-0.17554000460257896,-0.1897110696486108,-0.1587841908798382,-0.24442514879998292,0.037093592697378525,0.5725,False,H6
CS<-RIA:symbolic,0.1123856748302305,0.13794020872191692,0.10317684297735837,0.14733650917706154,0.02082917782634485,0.795,False,H10
SCB<-CS,0.42555525384378706,0.37566034543856847,0.27369586610431273,0.3938809482256841,0.06565518292698772,0.1175,False,H11
SCB<-CS:community,0.17787604934950108,0.1657792921527387,0.051597758567347225,0.14595840538282706,0.05733345161248671,0.14,False,H11
CDC<-CS,-0.1552253745534046,-0.18889784935644144,-0.2143737224863234,-0.18134596038095174,0.024343944892323863,0.895,False,H12
CDC<-CS:community,-0.11548661478559948,-0.13333641070527008,-0.05447244125167938,-0.05904787054749329,0.039776378949035254,0.5275,False,H12
BSE<-int:sac,0.4756608648265227,0.871456408025708,0.7191491657152045,0.35532358911751427,0.23316327569824896,0.93,False,H13
BSE<-intensity|no_sacrifice,0.17367791593043252,-0.2602935361402472,-0.17005333690970575,0.05268255603593627,0.19933867293810953,0.775,False,H13
SPS<-CS,0.19766834875158565,0.3099571435262135,0.33096276695885496,0.3296656452572636,0.06365977630010063,0.085,False,H14
SPS<-CS:growth_endorse,-0.11904151169390904,-0.11375587674427792,-0.0711486665079865,-0.0905040798923121,0.022110894786087278,0.8775,False,H14
CS<-stringency,1.2163285161450146,0.901675243697607,1.929468627280908,1.0046887430587013,0.4631914424381376,0.7925,False,H7
CS<-stringency2,-1.5643935853837896,-1.264446648208596,-1.9200369202400087,-1.4448324957438752,0.2767221989556584,0.96,False,H7
